,city,cloudiness,country,date,humidity,lat,lng,max_temp,max_speed
0,rikitea,100,PF,1570851932,60,-23.12,-134.97,69.94,8.0
1,bad salzungen,46,DE,1570851935,76,50.81,10.23,55.99,12.75
2,flin flon,0,CA,1570851936,62,54.77,-101.88,30.16,11.35
3,esperance,75,AU,1570851937,87,-33.86,121.89,59.0,9.17
4,hithadhoo,100,MV,1570851939,78,-0.6,73.08,81.82,18.61
5,mataura,100,NZ,1570851941,79,-46.19,168.86,50.0,11.01
6,ushuaia,90,AR,1570851943,86,-54.81,-68.31,33.8,31.09
7,ribeira grande,100,PT,1570851944,70,38.52,-28.7,59.68,15.48
8,makokou,100,GA,1570851945,99,0.56,12.85,68.68,1.14
9,pozhva,90,RU,1570851947,88,59.09,56.08,43.48,11.59
10,hobart,75,AU,1570851948,58,-42.88,147.33,60.01,8.05
11,chokurdakh,100,RU,1570851949,95,70.62,147.9,20.8,11.31
12,husavik,100,CA,1570851950,99,50.56,-96.99,35.01,16.53
13,trairi,64,BR,1570851952,78,-3.28,-39.27,75.88,8.95
14,ryazan,10,RU,1570851953,94,54.63,39.74,46.99,3.0
15,jamestown,34,AU,1570851954,18,-33.21,138.6,75.52,8.82
16,ancud,90,CL,1570851956,93,-41.87,-73.83,42.8,10.29
17,bucerias,90,MX,1570851957,94,20.76,-105.33,82.99,4.7
18,khatanga,100,RU,1570851958,76,71.98,102.47,26.2,10.49
19,east london,99,ZA,1570851960,93,-33.02,27.91,57.2,5.82
20,great yarmouth,100,GB,1570851961,93,52.61,1.73,52.0,5.82
21,atuona,0,PF,1570851962,62,-9.8,-139.03,79.12,9.45
22,qaanaaq,100,GL,1570851965,71,77.48,-69.36,23.5,8.56
23,ponta do sol,100,BR,1570851966,76,-20.63,-46.0,67.24,4.01
24,aykhal,26,RU,1570851967,73,65.95,111.51,13.78,5.06
25,felanitx,20,ES,1570851969,93,39.47,3.15,70.0,3.36
26,busselton,9,AU,1570851970,31,-33.64,115.35,68.0,7.89
27,sitka,0,US,1570851971,30,37.17,-99.65,42.01,5.01
28,swabi,0,PK,1570851973,50,34.13,72.47,72.82,2.36
29,barrow,100,AR,1570851975,69,-38.31,-60.23,53.92,10.7
30,burns lake,100,CA,1570851977,81,54.23,-125.76,35.92,1.1
31,hermanus,100,ZA,1570851978,96,-34.42,19.24,54.0,11.17
32,aswan,0,EG,1570851979,31,24.09,32.9,83.62,6.4
33,ayan,40,IR,1570851981,38,38.23,44.7,59.0,5.45
34,honningsvag,100,NO,1570851982,76,70.98,25.97,38.98,6.57
35,tinoto,20,PH,1570851983,62,5.89,125.07,87.8,6.93
36,castellaneta,75,IT,1570851984,100,40.63,16.94,66.0,3.36
37,korcula,0,HR,1570851986,93,42.96,17.14,48.2,2.24
38,nome,1,US,1570851987,62,30.04,-94.42,55.4,16.11
39,long beach,75,US,1570851988,88,30.35,-89.15,77.0,6.93
40,sungaipenuh,24,ID,1570851990,66,-2.08,101.38,75.88,2.85
41,santa fe,0,AR,1570851991,72,-31.62,-60.7,81.0,5.01
42,tasiilaq,88,GL,1570851992,74,65.61,-37.64,32.0,2.24
43,aljezur,94,PT,1570851994,92,37.31,-8.8,70.0,1.01
44,new norfolk,75,AU,1570851995,58,-42.78,147.06,60.01,8.05
45,port alfred,71,ZA,1570851996,90,-33.59,26.89,60.01,1.99
46,cidreira,0,BR,1570851998,79,-30.17,-50.22,71.2,15.17
47,severo-kurilsk,93,RU,1570851999,83,50.68,156.12,54.64,6.76
48,carnarvon,67,ZA,1570852000,12,-30.97,22.13,61.3,7.39
49,the valley,20,AI,1570852002,74,18.22,-63.06,84.2,1.12
50,pravda,0,BG,1570852003,100,43.16,25.69,41.0,4.7
51,sao filipe,0,CV,1570852004,80,14.9,-24.5,78.04,8.23
52,kortkeros,90,RU,1570852006,86,61.81,51.56,39.2,2.24
53,bredasdorp,93,ZA,1570852007,87,-34.53,20.04,53.6,4.7
54,morant bay,20,JM,1570852008,74,17.88,-76.41,82.4,6.93
55,castro,90,CL,1570852011,93,-42.48,-73.76,42.8,10.29
56,udachnyy,4,RU,1570852012,76,66.42,112.4,11.8,5.34
57,caxito,100,BR,1570852014,87,-22.65,-42.51,65.98,3.32
58,arraial do cabo,100,BR,1570852015,88,-22.97,-42.02,72.46,24.85
59,tiznit,0,MA,1570852016,33,29.7,-9.73,67.78,4.61
60,bethel,40,US,1570852018,74,60.79,-161.76,37.4,9.17
61,victoria,75,BN,1570852019,66,5.28,115.24,87.8,1.12
62,bambous virieux,40,MU,1570852021,88,-20.34,57.76,73.99,12.75
63,fuzhou,20,CN,1570852023,42,26.08,119.3,84.2,8.95
64,kahului,40,US,1570852024,58,20.89,-156.47,86.0,14.99
65,yar-sale,69,RU,1570852025,81,66.83,70.83,32.32,12.74
66,albany,40,US,1570852027,54,42.65,-73.75,55.4,2.2
67,oranjestad,20,AW,1570852028,83,12.52,-70.03,82.4,11.41
68,bud,100,NO,1570852029,87,62.91,6.91,44.6,6.93
69,usinsk,100,RU,1570852031,94,66.0,57.56,35.2,8.65
70,walvis bay,0,NA,1570852032,87,-22.95,14.51,63.0,5.99
71,thompson,20,CA,1570852033,66,55.74,-97.86,32.0,14.99
72,anadyr,100,RU,1570852037,86,64.73,177.51,30.2,11.18
73,malaya purga,100,RU,1570852038,89,56.55,53.01,44.01,5.39
74,lebu,44,ET,1570852040,88,8.96,38.73,49.06,2.18
75,yellowknife,75,CA,1570852041,70,62.45,-114.38,41.0,25.28
76,cape town,40,ZA,1570852042,82,-33.93,18.42,59.0,14.99
77,tianpeng,100,CN,1570852044,84,28.88,112.34,63.82,6.4
78,grand-santi,0,GF,1570852045,89,4.27,-54.38,72.46,1.85
79,encruzilhada do sul,0,BR,1570852046,80,-30.54,-52.52,68.32,2.92
80,broome,100,GB,1570852048,93,52.47,1.45,52.0,5.82
81,nishihara,90,JP,1570852049,100,35.74,139.53,78.01,13.87
82,vaini,75,IN,1570852050,94,15.34,74.49,75.2,4.7
83,avarua,0,CK,1570852053,60,-21.21,-159.78,71.6,12.75
84,nathdwara,0,IN,1570852054,69,24.93,73.82,73.4,0.87
85,lavrentiya,2,RU,1570852056,65,65.58,-170.99,31.96,14.52
86,cairns,0,AU,1570852057,61,-16.92,145.77,93.0,11.41
87,punta arenas,20,CL,1570852060,64,-53.16,-70.91,35.6,12.75
88,campbell river,90,CA,1570852061,87,50.02,-125.24,48.2,3.36
89,mackay,40,CA,1570852062,55,53.65,-115.58,39.2,8.05
90,geraldton,90,CA,1570852063,100,49.72,-86.95,42.8,9.17
91,salalah,0,OM,1570852065,78,17.01,54.1,77.0,3.36
92,tilichiki,98,RU,1570852066,81,60.47,166.1,37.54,13.47
93,teguldet,100,RU,1570852067,50,57.31,88.17,30.52,9.38
94,predivinsk,0,RU,1570852069,35,57.07,93.44,33.76,7.7
95,itarema,5,BR,1570852070,77,-2.92,-39.92,76.96,11.38
96,axim,58,GH,1570852071,92,4.87,-2.24,74.08,2.51
97,ashland,90,US,1570852073,93,38.48,-82.64,70.0,3.53
98,umm kaddadah,6,SD,1570852075,49,13.6,26.69,83.26,9.58
99,provideniya,0,RU,1570852076,69,64.42,-173.23,28.54,3.04
100,los llanos de aridane,90,ES,1570852078,60,28.66,-17.92,71.6,5.82
101,dikson,99,RU,1570852079,90,73.51,80.55,30.52,23.6
102,fairfield,1,US,1570852080,38,38.25,-122.04,66.2,2.48
103,kachug,0,RU,1570852082,47,53.96,105.89,24.58,2.38
104,airai,0,TL,1570852083,21,-8.93,125.41,87.94,8.3
105,lompoc,1,US,1570852084,43,34.64,-120.46,62.6,9.43
106,wilmington,1,US,1570852086,58,39.75,-75.55,57.0,3.36
107,mar del plata,97,AR,1570852087,35,-46.43,-67.52,51.94,15.86
108,piney green,1,US,1570852088,93,35.09,-78.48,60.01,4.78
109,kodiak,1,US,1570852090,80,39.95,-94.76,37.4,6.93
110,lasalgaon,25,IN,1570852092,75,20.14,74.24,76.24,5.13
111,berezovyy,0,RU,1570852094,30,51.67,135.7,34.3,17.03
112,buala,100,SB,1570852095,77,-8.15,159.59,83.44,7.81
113,vila franca do campo,40,PT,1570852098,82,37.72,-25.43,60.8,5.82
114,port elizabeth,90,US,1570852099,67,39.31,-74.98,61.0,6.93
115,margate,75,AU,1570852100,58,-43.03,147.26,60.01,8.05
116,policoro,75,IT,1570852101,100,40.21,16.68,66.0,3.36
117,kerman,0,IR,1570852103,30,30.29,57.06,44.6,4.7
118,alofi,85,NU,1570852104,65,-19.06,-169.92,78.8,17.22
119,muros,75,ES,1570852105,100,42.77,-9.06,62.01,4.7
120,manzanillo,88,MX,1570852107,71,19.05,-104.32,82.9,2.84
121,lima,0,PE,1570852108,87,-12.06,-77.04,59.0,6.93
122,mayo,90,CA,1570852109,86,63.59,-135.9,37.4,4.7
123,faanui,0,PF,1570852111,75,-16.48,-151.75,75.52,18.65
124,klaksvik,100,FO,1570852112,75,62.23,-6.59,44.6,12.75
125,puertollano,83,ES,1570852113,49,38.69,-4.11,66.0,1.61
126,fairbanks,90,US,1570852116,86,64.84,-147.72,33.8,5.82
127,carmen,75,PH,1570852117,66,7.36,125.71,90.0,3.36
128,tuatapere,100,NZ,1570852118,79,-46.13,167.69,50.0,11.01
129,mabaruma,3,GY,1570852120,99,8.2,-59.78,73.0,2.37
130,krasnyy chikoy,0,RU,1570852121,39,50.36,108.75,25.84,3.68
131,ertil,93,RU,1570852122,90,51.84,40.8,45.64,6.65
132,naze,83,NG,1570852124,97,5.43,7.07,71.56,1.59
133,faya,20,SA,1570852125,54,18.39,42.45,59.0,3.51
134,yeniseysk,0,RU,1570852126,44,58.45,92.17,32.14,8.4
135,port blair,40,IN,1570852128,70,11.67,92.75,86.0,4.7
136,luderitz,0,NA,1570852129,100,-26.65,15.16,51.8,13.87
137,belle fourche,0,US,1570852130,82,44.67,-103.85,32.0,17.22
138,codrington,90,AU,1570852132,67,-28.95,153.24,62.6,6.93
139,kavieng,100,PG,1570852134,66,-2.57,150.8,84.34,4.84
140,bluff,0,AU,1570852136,11,-23.58,149.07,84.34,14.17
141,pevek,84,RU,1570852137,72,69.7,170.27,24.22,18.11
142,ngunguru,98,NZ,1570852138,75,-35.62,174.5,64.0,7.0
143,fushun,25,CN,1570852139,24,41.89,123.95,59.0,8.95
144,sept-iles,5,CA,1570852141,75,50.2,-66.38,42.8,6.93
145,georgetown,67,GY,1570852142,94,6.8,-58.16,77.0,2.24
146,road town,89,VG,1570852143,69,18.42,-64.62,82.99,10.03
147,grindavik,75,IS,1570852145,80,63.84,-22.43,41.0,2.24
148,mosquera,75,CO,1570852146,87,4.71,-74.23,55.4,3.36
149,burley,1,US,1570852147,55,42.54,-113.79,41.0,6.51
150,bathsheba,40,BB,1570852149,78,13.22,-59.52,80.6,8.05
151,san andres,67,PH,1570852150,60,13.32,122.68,87.4,1.95
152,terrell,1,US,1570852151,34,32.74,-96.28,54.0,14.99
153,gisborne,100,NZ,1570852153,98,-38.66,178.02,55.99,1.99
154,slavsk,100,RU,1570852154,83,55.05,21.68,55.36,17.55
155,tabas,0,IR,1570852156,34,33.6,56.92,64.4,2.24
156,iroquois falls,75,CA,1570852157,55,48.76,-80.69,59.0,17.22
157,uzhur,17,RU,1570852158,46,55.32,89.85,35.92,6.43
158,surgut,100,RU,1570852160,89,61.25,73.4,37.0,4.14
159,albertville,0,FR,1570852161,93,45.68,6.39,50.0,2.24
160,kita,75,JP,1570852162,94,35.76,139.74,78.8,29.97
161,umiray,90,PH,1570852165,88,15.22,121.41,78.22,4.49
162,marienburg,20,DE,1570852166,67,52.12,9.98,64.4,16.11
163,leningradskiy,87,RU,1570852167,56,69.38,178.42,29.26,5.99
164,mandalgovi,88,MN,1570852169,58,45.76,106.27,26.74,6.42
165,isnos,96,CO,1570852173,96,1.94,-76.24,57.34,3.52
166,hilo,90,US,1570852175,69,19.71,-155.08,82.4,4.7
167,saskylakh,87,RU,1570852176,78,71.97,114.09,17.02,5.72
168,waghai,0,IN,1570852178,76,20.77,73.5,79.66,4.06
169,nouadhibou,79,MR,1570852179,60,20.93,-17.03,75.2,18.34
170,tuktoyaktuk,90,CA,1570852182,92,69.44,-133.03,30.2,16.11
171,mahebourg,40,MU,1570852183,88,-20.41,57.7,73.99,12.75
172,saint george,40,GR,1570852184,88,39.45,22.34,66.2,2.0
173,karia,100,NG,1570852186,77,11.73,11.16,74.8,11.64
174,sao joao da barra,8,BR,1570852187,83,-21.64,-41.05,73.72,19.67
175,chuy,15,UY,1570852188,92,-33.69,-53.46,63.1,5.67
176,verkhnevilyuysk,100,RU,1570852190,80,63.45,120.31,21.34,11.87
177,san ramon,100,NI,1570852192,95,12.92,-85.84,64.54,5.15
178,araouane,88,ML,1570852194,38,18.9,-3.53,88.12,5.29
179,izumo,75,JP,1570852195,68,35.37,132.75,69.8,36.91
180,poso,71,ID,1570852196,74,-1.4,120.75,76.6,3.62
181,flinders,90,AU,1570852199,67,-34.58,150.85,60.01,14.99
182,gornopravdinsk,100,RU,1570852201,85,60.06,69.92,36.82,8.31
